source_id,id,name_zh,phone,address_raw,postal_code,city_or_county,district,region,website,school_category
114,school_114_中臺科技大學,中臺科技大學,886-4-22391647#8822,406053 台中市北屯區廍子路666 號,406053,台中市,北屯區,central,http://www.ctust.edu.tw,private_or_other;technology
115,school_115_吳鳳科技大學,吳鳳科技大學,886-5-2267125#21932,621303 嘉義縣民雄鄉建國路二段 117 號,621303,嘉義縣,民雄鄉,south,http://www.wfu.edu.tw,private_or_other;technology
116,school_116_中華醫事科技大學,中華醫事科技大學,886-6-2672623,717302 台南市仁德區文華一街89 號,717302,台南市,仁德區,south,https://www.hwai.edu.tw/,private_or_other;technology;medical_health
117,school_117_修平學校財團法人修平科技,修平學校財團法人修平科技大學,886-4-24961100#5013,412406 臺中市大里區工業路11 號,412406,臺中市,大里區,central,http://www.hust.edu.tw,private_or_other;technology
118,school_118_光宇學校財團法人元培醫事,光宇學校財團法人元培醫事科技大學,886-3-6102212,300102 新竹市香山區元培街306 號,300102,新竹市,香山區,north,http://www.ypu.edu.tw,private_or_other;technology;medical_health
119,school_119_台北海洋科技大學,台北海洋科技大學,886-2-28059999#1536,251310 新北市淡水區濱海路三段150 號,251310,新北市,淡水區,north,http://www.tumt.edu.tw/bin/home.php,private_or_other;technology
120,school_120_崇右影藝科技大學,崇右影藝科技大學,886-2-24237785#332,201301 基隆市信義區義七路40 號,201301,基隆市,信義區,north,http://www.cufa.edu.tw,private_or_other;technology;arts
121,school_121_廣亞學校財團法人育達科技,廣亞學校財團法人育達科技大學,886-37-651188#8910,361027 苗栗縣造橋鄉談文村學府路168 號,361027,苗栗縣,造橋鄉,central,https://www1.ydu.edu.tw/?locale=zh_tw,private_or_other;technology
122,school_122_南亞科技學校財團法人南亞,南亞科技學校財團法人南亞技術學院,886-3-4361070#4142,320310 桃園市中壢區中山東路三段414 號,320310,桃園市,中壢區,north,http://www.nanya.edu.tw,private_or_other;technology
123,school_123_東南科技大學,東南科技大學,886-2-8662-5948#5949,222304 臺灣新北市深坑區北深路三段152 號,222304,新北市,深坑區,north,https://www.tnu.edu.tw/,private_or_other;technology
124,school_124_宏國德霖科技大學,宏國德霖科技大學,886-2-22733657#837,236302 新北市土城區青雲路380 巷1 號,236302,新北市,土城區,north,https://www.hdut.edu.tw,private_or_other;technology
125,school_125_中信金學校財團法人中信科,中信金學校財團法人中信科技大學,886-6-5979566#7481,744004 台南市新市區中華路49 號,744004,台南市新市,,,https://www.ctbctech.edu.tw/,private_or_other;technology
126,school_126_大仁科技大學,大仁科技大學,886-8-7624002,907391 屏東縣鹽埔鄉新二村維新路20 號,907391,屏東縣,鹽埔鄉,south,https://www.tajen.edu.tw/?Lang=zh-tw,private_or_other;technology
127,school_127_台鋼學校財團法人台鋼科技,台鋼學校財團法人台鋼科技大學,886-7-6077216,821013 高雄市路竹區中山路1821 號,821013,高雄市,路竹區,south,https://www.tsust.edu.tw/,private_or_other;technology
128,school_128_美和學校財團法人美和科技,美和學校財團法人美和科技大學,886-8-7799821#8739,912009 屏東縣內埔鄉美和村屏光路23 號,912009,屏東縣,內埔鄉,south,http://www.meiho.edu.tw,private_or_other;technology
129,school_129_聖約翰科技大學,聖約翰科技大學,886-2-28013131#6789,251309 新北市淡水區淡金路四段499 號,251309,新北市,淡水區,north,http://www.sju.edu.tw,private_or_other;technology
130,school_130_國立臺灣師範大學僑生先修,國立臺灣師範大學僑生先修部,886-2-77498267,244014 新北市林口區仁愛路一段2 號,244014,新北市,林口區,north,https://www.nups.ntnu.edu.tw,public;general_or_specialized_university;education
